formula,Property Lattice parameter (a),Property Lattice parameter (a) units,Property Cell angle ($\gamma$),Property Cell angle ($\gamma$) units,Property Melting point,Property Melting point units,Property Crystal system,Property Lattice parameter (c),Property Lattice parameter (c) units,Property Cell angle ($\alpha$),Property Cell angle ($\alpha$) units,Property Lattice parameter (b),Property Lattice parameter (b) units,Property Cell angle ($\beta$),Property Cell angle ($\beta$) units,Property Space group number
ClCoH$_{4}$O$_{3}$P,7.416(4),$\AA$,90,°,,,orthorhombic,9.483(5),$\AA$,90,°,13.082(7),$\AA$,90,°,61
F$_{12}$Fe$_{2}$H$_{6}$MnO$_{3}$Pb$_{2}$,9.320(1),$\AA$,120,°,,,hexagonal,3.9618(5),$\AA$,90,°,9.320(1),$\AA$,90,°,189
Co$_{3}$H$_{4}$O$_{10}$P$_{2}$,7.531(1),$\AA$,90,°,,,monoclinic,7.700(2),$\AA$,90,°,7.516(1),$\AA$,121.91(1),$^\circ$,14
Co$_{3}$H$_{4}$O$_{10}$P$_{2}$,7.5024(2),$\AA$,90,°,,,monoclinic,7.6716(2),$\AA$,90,°,7.4896(2),$\AA$,121.864(1),$^\circ$,14
Al$_{2}$CaF$_{9}$K,12.343(2),$\AA$,90,°,,,orthorhombic,22.679(4),$\AA$,90,°,7.152(1),$\AA$,90,°,20
AlBa$_{3}$F$_{9}$,7.5318(3),$\AA$,90,°,,,orthorhombic,14.5732(7),$\AA$,90,°,14.8674(7),$\AA$,90,°,30
F$_{24}$Fe$_{2}$MnPb$_{8}$,20.181(3),$\AA$,90,°,,,monoclinic,9.438(2),$\AA$,90,°,5.625(1),$\AA$,105,°,14
AlCsF$_{4}$,11.8101(4),$\AA$,90,°,,,tetragonal,13.3741(6),$\AA$,90,°,11.8101(4),$\AA$,90,°,120
AlCsF$_{4}$,10.5576(6),$\AA$,90,°,,,orthorhombic,17.5954(9),$\AA$,90,°,6.7500(4),$\AA$,90,°,62
BaF$_{10}$H$_{4}$O$_{2}$Zr$_{2}$,7.8974(3),$\AA$,90,°,,,orthorhombic,14.7227(4),$\AA$,90,°,7.9076(3),$\AA$,90,°,62
Al$_{2}$F$_{9}$H$_{5}$K$_{2}$O$_{2}$,11.5418(7),$\AA$,90,°,,,orthorhombic,3.6733(2),$\AA$,90,°,11.3437(7),$\AA$,90,°,55
AlF$_{3}$,10.1843(3),$\AA$,90,°,,,tetragonal,7.1738(2),$\AA$,90,°,10.1843(3),$\AA$,90,°,129
Bi$_{2}$Li$_{8}$O$_{10}$Pd,9.7308(2),$\AA$,90,°,,,monoclinic,11.0656(2),$\AA$,90,°,4.2042(1),$\AA$,105.781(1),$^\circ$,12
H$_{0.572}$O$_{2}$Ti$_{0.858}$,9.7689(6),$\AA$,90,°,,,orthorhombic,4.6745(4),$\AA$,90,°,2.9212(2),$\AA$,90,°,62
H$_{5}$NO$_{6}$PV,6.830(1),$\AA$,90,°,,,orthorhombic,8.817(2),$\AA$,90,°,9.233(2),$\AA$,90,°,29
Al$_{6}$Ba$_{7.092}$Cl$_{2}$F$_{33}$K$_{2.908}$,18.863(4),$\AA$,120,°,,,trigonal,7.636(2),$\AA$,90,°,18.863(2),$\AA$,90,°,164
H$_{14}$O$_{30}$P$_{8}$Zn$_{11}$,12.872(1),$\AA$,120,°,,,hexagonal,4.9772(4),$\AA$,90,°,12.872(1),$\AA$,90,°,186
O$_{5}$Tl$_{0.5}$V$_{2}$,11.609(8),$\AA$,90,°,,,monoclinic,9.629(6),$\AA$,90,°,3.6877(2),$\AA$,100.90(4),$^\circ$,12
Cu$_{2}$Li$_{3}$O$_{4}$,9.946(5),$\AA$,90,°,,,monoclinic,7.260(5),$\AA$,90,°,2.778(2),$\AA$,119.10(2),$^\circ$,12
H$_{6}$O$_{6}$P$_{2}$V,12.046(3),$\AA$,90,°,,,monoclinic,7.548(2),$\AA$,90,°,8.147(1),$\AA$,121.83(2),$^\circ$,15
H$_{6}$O$_{6}$P$_{2}$V,12.179(4),$\AA$,90,°,,,monoclinic,7.638(3),$\AA$,90,°,8.096(1),$\AA$,122.75(3),$^\circ$,15
H$_{6}$O$_{6}$P$_{2}$V,12.195(5),$\AA$,90,°,,,monoclinic,7.651(3),$\AA$,90,°,8.111(1),$\AA$,122.69(3),$^\circ$,15
H$_{6}$O$_{6}$P$_{2}$V,12.262(8),$\AA$,90,°,,,monoclinic,7.702(5),$\AA$,90,°,8.069(2),$\AA$,123.34(5),$^\circ$,15
BaF$_{5}$Fe,9.532(1),$\AA$,90,°,,,monoclinic,11.398(1),$\AA$,90,°,7.901(1),$\AA$,93.45(1),$^\circ$,14
Fe$_{4}$Mo$_{3.02}$O$_{20}$V$_{1.98}$,9.5390(3),$\AA$,90,°,,,tetragonal,17.1411(5),$\AA$,90,°,9.5390(3),$\AA$,90,°,91
FeMoO$_{7}$V,5.5703(1),$\AA$,101.273(1),$^\circ$,,,triclinic,7.9032(2),$\AA$,96.174(1),$^\circ$,6.6741(1),$\AA$,90.260(1),$^\circ$,2
AlF$_{4}$K,5.0424(1),$\AA$,90,°,,,tetragonal,6.1564(1),$\AA$,90,°,5.0424(1),$\AA$,90,°,127
AlF$_{4}$K,5.0431(1),$\AA$,90,°,,,tetragonal,6.1567(1),$\AA$,90,°,5.0431(1),$\AA$,90,°,127
AlF$_{4}$K,5.0432(1),$\AA$,90,°,,,tetragonal,6.1573(1),$\AA$,90,°,5.0432(1),$\AA$,90,°,127
Cr$_{2}$H$_{12}$N$_{4}$O$_{7}$Pd,7.771(3),$\AA$,90,°,,,monoclinic,11.852(4),$\AA$,90,°,11.578(1),$\AA$,105.50(4),$^\circ$,14
AlBaF$_{5}$,13.7168(3),$\AA$,90,°,,,orthorhombic,4.9329(1),$\AA$,90,°,5.6054(2),$\AA$,90,°,19
AlBaF$_{5}$,5.1517(1),$\AA$,90,°,,,monoclinic,7.5567(2),$\AA$,90,°,19.56659(40),$\AA$,92.426(1),$^\circ$,14
AlBaF$_{5}$,5.2584(1),$\AA$,90,°,,,monoclinic,7.3701(2),$\AA$,90,°,9.7298(2),$\AA$,90.875(1),$^\circ$,4
BaF$_{6}$H$_{0.075}$O$_{0.0375}$Zr,13.193(2),$\AA$,90,°,,,monoclinic,19.83899(300),$\AA$,90,°,7.499(1),$\AA$,91.69(1),$^\circ$,15
H$_{4}$N$_{2}$O$_{8}$Pd,5.0036(3),$\AA$,90,°,,,orthorhombic,11.7223(8),$\AA$,90,°,10.6073(7),$\AA$,90,°,61
BaHgO$_{5}$Ru,10.1760(1),$\AA$,120,°,,,hexagonal,8.4121(1),$\AA$,90,°,10.1760(1),$\AA$,90,°,176
F$_{22}$Sr$_{5}$Zr$_{3}$,7.655(1),$\AA$,90,°,,,orthorhombic,10.255(1),$\AA$,90,°,10.313(1),$\AA$,90,°,18
H$_{2}$K$_{2}$O$_{10}$Si$_{3}$Ti,7.1362(2),$\AA$,90,°,,,orthorhombic,12.9414(4),$\AA$,90,°,9.9084(3),$\AA$,90,°,19
Cu$_{3}$H$_{6}$O$_{11}$V$_{2}$,10.606(4),$\AA$,90,°,,,monoclinic,7.213(3),$\AA$,90,°,5.874(1),$\AA$,94.90(3),$^\circ$,12
Cu$_{3}$H$_{6}$O$_{11}$V$_{2}$,10.607(5),$\AA$,90,°,,,monoclinic,7.214(6),$\AA$,90,°,5.864(4),$\AA$,94.88(4),$^\circ$,12
BaF$_{5}$GaH$_{4}$O$_{2}$,10.0626(6),$\AA$,90,°,,,monoclinic,4.9788(3),$\AA$,90,°,5.8070(1),$\AA$,103.359(7),$^\circ$,11
CaH$_{2}$Na$_{2}$O$_{8}$P$_{2}$,9.0652(3),$\AA$,90,°,,,monoclinic,5.4700(2),$\AA$,90,°,7.1468(2),$\AA$,98.782(1),$^\circ$,4
LiO$_{3}$Sb,4.9005(2),$\AA$,90,°,,,orthorhombic,5.1816(2),$\AA$,90,°,8.4892(3),$\AA$,90,°,52
H$_{0.6}$Li$_{0.4}$O$_{3}$Sb,4.7260(5),$\AA$,90,°,,,orthorhombic,5.2306(6),$\AA$,90,°,8.659(1),$\AA$,90,°,52
H$_{0.67}$Li$_{0.33}$O$_{3}$Sb,5.2526(3),$\AA$,90,°,,,monoclinic,8.6322(6),$\AA$,90,°,4.7331(3),$\AA$,90.8(5),$^\circ$,14
F$_{9}$Fe$_{2}$NaPb,7.308(3),$\AA$,90,°,,,monoclinic,7.640(3),$\AA$,90,°,12.559(5),$\AA$,93.06(2),$^\circ$,15
H$_{2}$Na$_{5}$O$_{15}$P$_{3}$V$_{2}$,6.3089(4),$\AA$,90,°,,,monoclinic,5.1172(5),$\AA$,90,°,20.10379(80),$\AA$,91.134(6),$^\circ$,8
Al$_{3}$F$_{12}$NaRb$_{2}$,12.046(6),$\AA$,90,°,,,monoclinic,7.093(4),$\AA$,90,°,6.984(4),$\AA$,125.04(4),$^\circ$,11
Al$_{3}$F$_{12}$K$_{2}$Na,11.882(7),$\AA$,90,°,,,monoclinic,6.942(4),$\AA$,90,°,6.983(4),$\AA$,125.59(3),$^\circ$,11
Li$_{6}$O$_{18}$P$_{6}$,7.9911(3),$\AA$,90,°,,,monoclinic,5.3208(2),$\AA$,90,°,17.03189(60),$\AA$,99.433(1),$^\circ$,14
AlCaF$_{6}$Na,8.7423(3),$\AA$,90,°,,,monoclinic,20.35139(90),$\AA$,90,°,5.1927(2),$\AA$,91.499(2),$^\circ$,14
Ba$_{2}$F$_{8}$Zr,9.7401(1),$\AA$,90,°,,,orthorhombic,11.8871(1),$\AA$,90,°,5.6147(1),$\AA$,90,°,62
Ba$_{2}$F$_{8}$Zr,9.7426(3),$\AA$,90,°,,,orthorhombic,11.8877(3),$\AA$,90,°,5.6157(2),$\AA$,90,°,62
Ba$_{2}$F$_{8}$Zr,9.7401(2),$\AA$,90,°,,,orthorhombic,11.8839(3),$\AA$,90,°,5.6167(1),$\AA$,90,°,62
Ba$_{2}$F$_{8}$Zr,9.7472(2),$\AA$,90,°,,,orthorhombic,11.8995(3),$\AA$,90,°,5.6173(1),$\AA$,90,°,62
F$_{8}$Pb$_{2}$Zr,10.0800(3),$\AA$,90,°,,,orthorhombic,11.6637(3),$\AA$,90,°,5.3262(1),$\AA$,90,°,62
D$_{7}$LaNi$_{5}$,5.409(2),$\AA$,120,°,,,hexagonal,8.600(1),$\AA$,90,°,5.409(2),$\AA$,90,°,186
D$_{7}$LaNi$_{5}$,5.409(2),$\AA$,120,°,,,hexagonal,8.600(1),$\AA$,90,°,5.409(2),$\AA$,90,°,186
CrF$_{6}$MnNa,8.993(1),$\AA$,120,°,,,trigonal,5.003(1),$\AA$,90,°,8.993(1),$\AA$,90,°,150
CrF$_{5}$Mn,8.586(5),$\AA$,90,°,,,monoclinic,7.381(4),$\AA$,90,°,6.291(3),$\AA$,115.46(7),$^\circ$,15
CrF$_{5}$Mn,8.856(5),$\AA$,90,°,,,monoclinic,7.381(4),$\AA$,90,°,6.291(3),$\AA$,115.46(7),$^\circ$,15
CrF$_{5}$Mn,8.856(5),$\AA$,90,°,,,monoclinic,7.381(4),$\AA$,90,°,6.291(3),$\AA$,115.46(7),$^\circ$,15
CrF$_{5}$Rb$_{2}$,7.515(5),$\AA$,90,°,,,orthorhombic,11.985(6),$\AA$,90,°,5.724(5),$\AA$,90,°,62
F$_{3}$FeK$_{0.6}$,12.750(2),$\AA$,90,°,,,orthorhombic,3.986(2),$\AA$,90,°,12.637(2),$\AA$,90,°,32
FNb$_{2}$O$_{5}$Tl,10.506(3),$\AA$,90,°,,,cubic,10.506(3),$\AA$,90,°,10.506(3),$\AA$,90,°,227
Al$_{1.5}$CsF$_{6}$Na$_{0.5}$,7.310(3),$\AA$,57.43,°,,,trigonal,7.31,$\AA$,57.43(10),$^\circ$,7.31,$\AA$,57.43,°,166
Al$_{1.5}$CsF$_{6}$Li$_{0.5}$,7.106(3),$\AA$,58.8,°,,,trigonal,7.106,$\AA$,58.8(1),$^\circ$,7.106,$\AA$,58.8,°,166
AlF$_{4}$K,5.043(2),$\AA$,90,°,,,tetragonal,6.164(6),$\AA$,90,°,5.043(2),$\AA$,90,°,127
F$_{6}$Li$_{2}$Ti,4.630(5),$\AA$,90,°,,,tetragonal,8.935(10),$\AA$,90,°,4.630(5),$\AA$,90,°,136
Ba$_{2}$F$_{10}$Ni$_{3}$,18.542(7),$\AA$,90,°,,,monoclinic,7.821(3),$\AA$,90,°,5.958(2),$\AA$,111.92(10),$^\circ$,12
FNb$_{2}$O$_{5}$Tl,10.506(3),$\AA$,90,°,,,cubic,10.506(3),$\AA$,90,°,10.506(3),$\AA$,90,°,227
F$_{2}$NbO$_{4}$TiTl,10.365(3),$\AA$,90,°,,,cubic,10.365(3),$\AA$,90,°,10.365(3),$\AA$,90,°,227
FO$_{5}$TiTlW,10.241(3),$\AA$,90,°,,,cubic,10.241(3),$\AA$,90,°,10.241(3),$\AA$,90,°,227
FNb$_{2}$O$_{5}$Rb,10.492(3),$\AA$,90,°,,,cubic,10.492(3),$\AA$,90,°,10.492(3),$\AA$,90,°,227
CsFNb$_{2}$O$_{5}$,10.525(3),$\AA$,90,°,,,cubic,10.525(3),$\AA$,90,°,10.525(3),$\AA$,90,°,227
F$_{6}$Fe$_{2}$H$_{4}$N,7.045(4),$\AA$,90,°,,,orthorhombic,10.116(6),$\AA$,90,°,7.454(4),$\AA$,90,°,62
AlF$_{4}$Rb,11.666(5),$\AA$,90,°,,,tetragonal,12.551(6),$\AA$,90,°,11.666(5),$\AA$,90,°,120
F$_{12}$Li$_{3}$Na$_{3}$Sc$_{2}$,12.607(3),$\AA$,90,°,,,cubic,12.607(3),$\AA$,90,°,12.607(3),$\AA$,90,°,230
F$_{12}$In$_{2}$Li$_{3}$Na$_{3}$,12.693(3),$\AA$,90,°,,,cubic,12.693(3),$\AA$,90,°,12.693(3),$\AA$,90,°,230
F$_{6}$Fe$_{2}$Li,4.673(5),$\AA$,90,°,,,tetragonal,9.29(2),$\AA$,90,°,4.673(5),$\AA$,90,°,136
F$_{3}$FeNa$_{0.11}$,5.372(2),$\AA$,58.85(5),$^\circ$,,,trigonal,5.372(2),$\AA$,58.85(5),$^\circ$,5.372(2),$\AA$,58.85(5),$^\circ$,167
FeLi$_{3}$O$_{8}$Sb$_{2}$,9.017(4),$\AA$,90,°,,,orthorhombic,9.841(4),$\AA$,90,°,5.013(2),$\AA$,90,°,62
AlF$_{5}$H$_{4}$Hg$_{2}$O$_{2}$,9.353(5),$\AA$,90,°,,,tetragonal,7.241(6),$\AA$,90,°,9.353(5),$\AA$,90,°,108
AlF$_{4}$H$_{4}$N,5.0875(1),$\AA$,90,°,,,tetragonal,12.7319(4),$\AA$,90,°,5.0875(1),$\AA$,90,°,140
AlF$_{4}$H$_{4}$N,5.0564(1),$\AA$,90,°,,,tetragonal,12.7113(2),$\AA$,90,°,5.0564(1),$\AA$,90,°,135
F$_{6}$FeLiMn,8.684(2),$\AA$,120,°,,,trigonal,4.657(1),$\AA$,90,°,8.684(2),$\AA$,90,°,150
F$_{6}$FeLiMn,8.723(2),$\AA$,120,°,,,trigonal,4.745(1),$\AA$,90,°,8.723(2),$\AA$,90,°,150
F$_{6}$FeLiMn,8.723(2),$\AA$,120,°,,,trigonal,4.745(1),$\AA$,90,°,8.723(2),$\AA$,90,°,150
F$_{3}$FeH$_{0.66}$O$_{0.33}$,7.423(3),$\AA$,90,°,,,orthorhombic,7.526(3),$\AA$,90,°,12.730(4),$\AA$,90,°,63
F$_{6}$FeH$_{4}$MnN,7.844(4),$\AA$,90,°,,,orthorhombic,10.582(6),$\AA$,90,°,12.819(8),$\AA$,90,°,30
HNbO$_{3}$,7.645(2),$\AA$,90,°,,,cubic,7.645(2),$\AA$,90,°,7.645(2),$\AA$,90,°,204
HNbO$_{3}$,7.645(2),$\AA$,90,°,,,cubic,7.645(2),$\AA$,90,°,7.645(2),$\AA$,90,°,204
Ag$_{0.5}$Cr$_{0.5}$PS$_{3}$,5.892(3),$\AA$,90,°,,,monoclinic,6.745(4),$\AA$,90,°,10.632(4),$\AA$,105.88(4),$^\circ$,13
Ag$_{0.5}$Cr$_{0.5}$PS$_{3}$,5.892(3),$\AA$,90,°,,,monoclinic,6.745(4),$\AA$,90,°,10.632(4),$\AA$,105.88(4),$^\circ$,13
F$_{8}$Fe$_{3}$H$_{4}$O$_{2}$,7.609(5),$\AA$,90,°,,,monoclinic,7.453(4),$\AA$,90,°,7.514(6),$\AA$,118.21(3),$^\circ$,12
Ca$_{3}$Mn$_{3}$O$_{8.02}$,5.332(2),$\AA$,90,°,,,orthorhombic,5.455(2),$\AA$,90,°,11.13(4),$\AA$,90,°,28
B$_{2}$F$_{8}$Sr,9.55(1),$\AA$,90,°,,,,13.80(1),$\AA$,90,°,9.23(1),$\AA$,90,°,
Fe$_{4}$Li$_{4.66}$O$_{16}$Sb$_{2}$Sn$_{1.32}$,5.950(2),$\AA$,120,°,,,hexagonal,9.701(4),$\AA$,90,°,5.950(2),$\AA$,90,°,186
Fe$_{2}$Li$_{2.33}$O$_{8}$SbSn$_{0.66}$,3.031(1),$\AA$,90,°,,,orthorhombic,9.798(6),$\AA$,90,°,5.045(2),$\AA$,90,°,62
AlF$_{4}$Tl,3.616(3),$\AA$,90,°,,,tetragonal,6.366(3),$\AA$,90,°,3.616(3),$\AA$,90,°,123
AlF$_{4}$H$_{4}$N,5.078(2),$\AA$,90,°,,,tetragonal,12.715(4),$\AA$,90,°,5.078(2),$\AA$,90,°,120
AlF$_{5}$H$_{2}$ORb$_{2}$,9.604(4),$\AA$,90,°,,,orthorhombic,7.542(2),$\AA$,90,°,8.379(4),$\AA$,90,°,63
Ba$_{2}$CoF$_{9}$Fe,7.486(3),$\AA$,90,°,,,monoclinic,5.687(2),$\AA$,90,°,17.757(6),$\AA$,90.87(10),$^\circ$,14
F$_{5}$FeH$_{4}$HgO$_{2}$,10.711(2),$\AA$,90,°,,,orthorhombic,4.008(1),$\AA$,90,°,6.638(1),$\AA$,90,°,55
BaCr$_{2}$F$_{9}$Na,7.38(2),$\AA$,90,°,,,monoclinic,5.398(1),$\AA$,90,°,17.311(4),$\AA$,91.14(3),$^\circ$,14
BaCr$_{2}$F$_{9}$Na,7.318(2),$\AA$,90,°,,,monoclinic,5.398(1),$\AA$,90,°,17.311(4),$\AA$,91.14(3),$^\circ$,14
BaF$_{9}$Fe$_{2}$Na,7.363(2),$\AA$,90,°,,,monoclinic,5.484(1),$\AA$,90,°,17.527(4),$\AA$,91.50(5),$^\circ$,14
F$_{4}$FeH$_{4}$N,7.559(4),$\AA$,90,°,,,orthorhombic,12.754(8),$\AA$,90,°,7.575(4),$\AA$,90,°,62
AlF$_{4}$K,5.0449(3),$\AA$,90,°,,,tetragonal,6.1592(4),$\AA$,90,°,5.0449(3),$\AA$,90,°,127
AlF$_{4}$K,7.3403(2),$\AA$,90,°,,,monoclinic,6.4070(2),$\AA$,90,°,7.2370(2),$\AA$,106.801(4),$^\circ$,11
F$_{12}$Li$_{3}$Na$_{3}$Ti$_{2}$,12.498(3),$\AA$,90,°,,,cubic,12.498(3),$\AA$,90,°,12.498(3),$\AA$,90,°,230
F$_{12}$Li$_{3}$Na$_{3}$V$_{2}$,12.409(3),$\AA$,90,°,,,cubic,12.409(3),$\AA$,90,°,12.409(3),$\AA$,90,°,230
Cr$_{2}$F$_{12}$Li$_{3}$Na$_{3}$,12.328(2),$\AA$,90,°,,,cubic,12.328(2),$\AA$,90,°,12.328(2),$\AA$,90,°,230
F$_{12}$Fe$_{2}$Li$_{3}$Na$_{3}$,12.393(2),$\AA$,90,°,,,cubic,12.393(2),$\AA$,90,°,12.393(2),$\AA$,90,°,230
Co$_{2}$F$_{12}$Li$_{3}$Na$_{3}$,12.326(2),$\AA$,90,°,,,cubic,12.326(2),$\AA$,90,°,12.326(2),$\AA$,90,°,230
Ba$_{6}$Cu$_{11}$F$_{34}$,7.490(1),$\AA$,70.42(2),$^\circ$,,,triclinic,10.271(3),$\AA$,82.98(2),$^\circ$,10.031(2),$\AA$,73.88(2),$^\circ$,2
BaCuF$_{7}$Fe,10.695(2),$\AA$,90,°,,,monoclinic,5.654(1),$\AA$,90,°,9.932(2),$\AA$,118.53(2),$^\circ$,15
BaCuF$_{7}$Fe,10.695(2),$\AA$,90,°,,,monoclinic,5.654(1),$\AA$,90,°,9.932(2),$\AA$,118.53(2),$^\circ$,9
Ba$_{6}$F$_{26}$Zn$_{7}$,19.46(1),$\AA$,90,°,,,monoclinic,12.243(5),$\AA$,90,°,5.956(2),$\AA$,128.88(1),$^\circ$,12
F$_{5}$FeH$_{4}$Hg$_{2}$O$_{3}$,7.505(1),$\AA$,90,°,,,orthorhombic,3.941(2),$\AA$,90,°,11.823(3),$\AA$,90,°,65
BaF$_{9}$Fe$_{2}$Na,7.3236(3),$\AA$,90,°,,,monoclinic,5.4586(2),$\AA$,90,°,17.4525(7),$\AA$,91.840(3),$^\circ$,14
Ba$_{7}$CuF$_{34}$Fe$_{6}$,16.982(3),$\AA$,90,°,,,monoclinic,7.663(1),$\AA$,90,°,11.372(2),$\AA$,101.47(1),$^\circ$,12
AlF$_{4}$Tl,3.6587,$\AA$,90,°,,,tetragonal,6.4378,$\AA$,90,°,3.6587,$\AA$,90,°,123
AlF$_{4}$Tl,3.6492,$\AA$,90,°,,,tetragonal,6.4137,$\AA$,90,°,3.6492,$\AA$,90,°,123
F$_{5}$FeH$_{4}$Hg$_{2}$O$_{3}$,7.505(1),$\AA$,90,°,,,orthorhombic,3.941(2),$\AA$,90,°,11.823(3),$\AA$,90,°,65
D$_{4}$F$_{6}$FeMnN,10.5276(4),$\AA$,90,°,,,orthorhombic,12.8156(4),$\AA$,90,°,7.7970(2),$\AA$,90,°,30
D$_{4}$F$_{6}$FeMnN,7.7947(3),$\AA$,90,°,,,orthorhombic,10.5244(4),$\AA$,90,°,12.8133(5),$\AA$,90,°,60
Ba$_{6}$F$_{26}$Zn$_{7}$,19.46(1),$\AA$,90,°,,,monoclinic,12.243(5),$\AA$,90,°,5.956(2),$\AA$,128.88(1),$^\circ$,12
F$_{5}$FeH$_{4}$MnO$_{2}$,7.5635(2),$\AA$,90,°,,,orthorhombic,6.7319(2),$\AA$,90,°,10.901(1),$\AA$,90,°,74
F$_{3}$Fe,10.325(2),$\AA$,90,°,,,cubic,10.325(2),$\AA$,90,°,10.325(2),$\AA$,90,°,227
Ag$_{0.5}$In$_{0.5}$PS$_{3}$,6.182(2),$\AA$,120,°,,,trigonal,12.957(2),$\AA$,90,°,6.182(2),$\AA$,90,°,163
F$_{5}$FeH$_{4}$MnO$_{2}$,7.475(1),$\AA$,90,°,,,orthorhombic,6.594(1),$\AA$,90,°,10.766(1),$\AA$,90,°,44
F$_{5}$FeH$_{4}$O$_{2}$Zn,7.451(1),$\AA$,90,°,,,orthorhombic,6.524(1),$\AA$,90,°,10.747(1),$\AA$,90,°,44
Cu$_{3}$F$_{7}$Na,12.124(6),$\AA$,90,°,,,monoclinic,6.924(4),$\AA$,90,°,7.344(4),$\AA$,120.59(4),$^\circ$,15
BaCuFeO$_{5}$Y,3.867,$\AA$,90,°,,,tetragonal,7.656,$\AA$,90,°,3.867,$\AA$,90,°,99
Ba$_{2}$Cu$_{2.5}$O$_{7}$Pd$_{0.5}$Y,3.841(1),$\AA$,90,°,,,orthorhombic,11.671(3),$\AA$,90,°,3.883(1),$\AA$,90,°,47
F$_{5}$FeH$_{10}$N$_{2}$O,10.491(4),$\AA$,90,°,,,orthorhombic,7.997(3),$\AA$,90,°,8.090(3),$\AA$,90,°,60
Al$_{2}$Ca$_{3}$F$_{14}$Na$_{2}$,10.257(1),$\AA$,90,°,,,cubic,10.257(1),$\AA$,90,°,10.257(1),$\AA$,90,°,199
CrF$_{7}$Na$_{2}$Ni,7.183(1),$\AA$,90,°,,,orthorhombic,7.414(1),$\AA$,90,°,10.224(1),$\AA$,90,°,74
AlF$_{3}$,6.931(3),$\AA$,90,°,,,orthorhombic,7.134(2),$\AA$,90,°,12.002(6),$\AA$,90,°,63
F$_{6}$Fe$_{2}$Li,4.679(1),$\AA$,90,°,,,tetragonal,9.324(2),$\AA$,90,°,4.679(1),$\AA$,90,°,102
H$_{4}$O$_{7}$Sb$_{2}$,10.365(2),$\AA$,90,°,,,cubic,10.365(2),$\AA$,90,°,10.365(2),$\AA$,90,°,227
H$_{3}$O$_{7}$SbW,10.281(2),$\AA$,90,°,,,cubic,10.281(2),$\AA$,90,°,10.281(2),$\AA$,90,°,227
BaO$_{5}$PdY$_{2}$,6.523(2),$\AA$,90,°,,,tetragonal,5.831(2),$\AA$,90,°,6.523(2),$\AA$,90,°,127
F$_{6}$FeNb,5.4201(8),$\AA$,120,°,,,trigonal,14.072(2),$\AA$,90,°,5.4201(8),$\AA$,90,°,148
F$_{6}$FeNb,5.3942(7),$\AA$,120,°,,,trigonal,14.1457(23),$\AA$,90,°,5.3942(7),$\AA$,90,°,148
F$_{6}$FeNb,7.793(1),$\AA$,86.138(9),$^\circ$,,,triclinic,7.7435(12),$\AA$,86.585(12),$^\circ$,7.7398(12),$\AA$,87.046(8),$^\circ$,2
F$_{6}$FeNb,7.7994(8),$\AA$,85.687(7),$^\circ$,,,triclinic,7.7206(10),$\AA$,86.483(9),$^\circ$,7.7143(12),$\AA$,86.968(8),$^\circ$,2
F$_{5}$FeH$_{4}$O$_{2}$Zn,7.475(1),$\AA$,90,°,,,orthorhombic,6.594(1),$\AA$,90,°,10.766(1),$\AA$,90,°,74
