formula,Property Lattice parameter (a),Property Lattice parameter (a) units,Property Cell angle ($\gamma$),Property Cell angle ($\gamma$) units,Property Melting point,Property Melting point units,Property Crystal system,Property Lattice parameter (c),Property Lattice parameter (c) units,Property Cell angle ($\alpha$),Property Cell angle ($\alpha$) units,Property Lattice parameter (b),Property Lattice parameter (b) units,Property Cell angle ($\beta$),Property Cell angle ($\beta$) units,Property Space group number
Ba$_{2}$F$_{18}$Ni$_{7}$,6.937(2),$\AA$,115.86(2),$^\circ$,,,triclinic,7.456(2),$\AA$,94.37(2),$^\circ$,7.229(2),$\AA$,93.16(2),$^\circ$,2
Ba$_{2}$F$_{18}$Ni$_{7}$,6.924(9),$\AA$,115.82(9),$^\circ$,,,triclinic,7.437(13),$\AA$,94.39(12),$^\circ$,7.218(10),$\AA$,93.20(13),$^\circ$,2
La$_{1.9}$NiO$_{3.93}$,3.869(1),$\AA$,90,°,,,tetragonal,12.664(3),$\AA$,90,°,3.869(1),$\AA$,90,°,139
CuLiO$_{4}$V,5.662(1),$\AA$,90,°,,,orthorhombic,8.758(2),$\AA$,90,°,5.809(1),$\AA$,90,°,74
CuF$_{8}$Fe$_{2}$H$_{4}$O$_{2}$,7.541(3),$\AA$,90,°,,,monoclinic,13.027(7),$\AA$,90,°,7.501(3),$\AA$,90.52(4),$^\circ$,15
Cu$_{3}$H$_{2}$O$_{9}$V$_{2}$,7.444(1),$\AA$,90,°,,,monoclinic,7.759(1),$\AA$,90,°,6.658(1),$\AA$,93.57(1),$^\circ$,11
CuH$_{4}$O$_{8}$V$_{2}$,5.617(1),$\AA$,90,°,,,monoclinic,11.333(2),$\AA$,90,°,5.595(1),$\AA$,91.04(1),$^\circ$,13
O$_{8}$TlV$_{3}$,7.780(2),$\AA$,90,°,,,monoclinic,4.993(1),$\AA$,90,°,8.423(3),$\AA$,96.48(2),$^\circ$,11
F$_{4}$Li$_{2}$Ni,8.318(3),$\AA$,90,°,,,cubic,8.318(3),$\AA$,90,°,8.318(3),$\AA$,90,°,227
F$_{7}$FeNa$_{2}$Ni,7.2338(3),$\AA$,90,°,,,orthorhombic,7.4529(3),$\AA$,90,°,10.3050(3),$\AA$,90,°,74
F$_{7}$FeNa$_{2}$Ni,7.203(1),$\AA$,90,°,,,orthorhombic,7.429(1),$\AA$,90,°,10.255(1),$\AA$,90,°,74
F$_{7}$FeNa$_{2}$Ni,7.203(1),$\AA$,90,°,,,orthorhombic,7.429(1),$\AA$,90,°,10.256(1),$\AA$,90,°,74
CoF$_{4}$Li,5.4354(7),$\AA$,90,°,,,monoclinic,5.5392(7),$\AA$,90,°,4.6527(6),$\AA$,114.117(8),$^\circ$,14
CoF$_{4}$Li,5.4296(8),$\AA$,90,°,,,monoclinic,5.5371(4),$\AA$,90,°,4.6462(4),$\AA$,114.244(5),$^\circ$,14
AlF$_{5}$H$_{2}$K$_{2}$O,9.200(3),$\AA$,90,°,,,orthorhombic,7.486(3),$\AA$,90,°,8.119(4),$\AA$,90,°,63
Al$_{2}$ClF$_{25}$Sr$_{10}$,16.4209(3),$\AA$,90,°,,,cubic,16.4209(3),$\AA$,90,°,16.4209(3),$\AA$,90,°,227
Cu$_{0.9}$La$_{2}$Li$_{0.1}$O$_{3.97}$,5.3813(1),$\AA$,90,°,,,orthorhombic,13.1028(1),$\AA$,90,°,5.3192(1),$\AA$,90,°,64
Cu$_{0.85}$La$_{2}$Li$_{0.15}$O$_{3.97}$,5.3617(1),$\AA$,90,°,,,orthorhombic,13.1066(1),$\AA$,90,°,5.3147(1),$\AA$,90,°,64
Cu$_{0.75}$La$_{2}$Li$_{0.25}$O$_{3.98}$,5.3177(1),$\AA$,90,°,,,orthorhombic,13.1218(2),$\AA$,90,°,5.3032(1),$\AA$,90,°,64
Cu$_{0.54}$La$_{2}$Li$_{0.46}$O$_{4}$,5.2636(2),$\AA$,90,°,,,orthorhombic,13.1460(2),$\AA$,90,°,5.2580(2),$\AA$,90,°,65
Cu$_{0.5}$La$_{2}$Li$_{0.5}$O$_{4}$,5.2517(9),$\AA$,90,°,,,orthorhombic,13.1539(3),$\AA$,90,°,5.251(1),$\AA$,90,°,65
BaCr$_{3}$CsF$_{12}$,17.184(4),$\AA$,90,°,,,monoclinic,15.037(5),$\AA$,90,°,9.886(2),$\AA$,124.32(2),$^\circ$,15
Mo$_{10}$O$_{34}$Tl$_{8}$,7.703(5),$\AA$,99.81(5),$^\circ$,,,triclinic,12.216(7),$\AA$,97.68(5),$^\circ$,10.703(7),$\AA$,118.76(5),$^\circ$,2
H$_{32}$Mo$_{10}$N$_{8}$O$_{34}$,7.750(1),$\AA$,99.18(1),$^\circ$,,,triclinic,12.421(1),$\AA$,98.52(1),$^\circ$,11.038(1),$\AA$,119.87(1),$^\circ$,2
F$_{4}$GaK,12.211(7),$\AA$,90,°,,,orthorhombic,7.635(3),$\AA$,90,°,7.496(2),$\AA$,90,°,62
AlF$_{4}$H$_{3.72}$N$_{0.93}$Rb$_{0.07}$,5.0881(2),$\AA$,90,°,,,tetragonal,12.7245(4),$\AA$,90,°,5.0881(2),$\AA$,90,°,140
AlF$_{4}$H$_{3.6}$N$_{0.9}$Rb$_{0.1}$,5.0893(1),$\AA$,90,°,,,tetragonal,12.7177(3),$\AA$,90,°,5.0893(1),$\AA$,90,°,140
AlF$_{4}$H$_{3.88}$N$_{0.97}$Rb$_{0.03}$,5.0569(1),$\AA$,90,°,,,tetragonal,12.7091(3),$\AA$,90,°,5.0569(1),$\AA$,90,°,135
AlF$_{4}$H$_{3.72}$N$_{0.93}$Rb$_{0.07}$,5.0579(1),$\AA$,90,°,,,tetragonal,12.7003(2),$\AA$,90,°,5.0579(1),$\AA$,90,°,140
AlF$_{4}$H$_{3.6}$N$_{0.9}$Rb$_{0.1}$,5.060(1),$\AA$,90,°,,,tetragonal,12.6977(3),$\AA$,90,°,5.060(1),$\AA$,90,°,140
Ba$_{7}$CuF$_{34}$Fe$_{6}$,16.892(4),$\AA$,90,°,,,monoclinic,7.646(2),$\AA$,90,°,11.331(1),$\AA$,101.75(2),$^\circ$,12
H$_{0.6}$Nb$_{0.6}$O$_{3}$W$_{0.4}$,7.5875(2),$\AA$,90,°,,,cubic,7.5875(2),$\AA$,90,°,7.5875(2),$\AA$,90,°,204
La$_{2}$O$_{2}$S$_{2}$,13.215(2),$\AA$,90,°,,,orthorhombic,5.938(1),$\AA$,90,°,5.943(1),$\AA$,90,°,64
CsO$_{8}$PSb$_{2}$,18.165(4),$\AA$,90,°,,,monoclinic,13.677(4),$\AA$,90,°,7.154(2),$\AA$,120.42(1),$^\circ$,12
H$_{8}$Mo$_{4}$N$_{2}$O$_{13}$,7.647(3),$\AA$,90,°,,,orthorhombic,18.994(8),$\AA$,90,°,15.414(7),$\AA$,90,°,61
H$_{8}$Mo$_{4}$N$_{2}$O$_{13}$,8.264(4),$\AA$,109.67(2),$^\circ$,,,triclinic,10.245(5),$\AA$,104.61(2),$^\circ$,8.344(4),$\AA$,106.05(2),$^\circ$,2
Ba$_{2}$CuO$_{8}$PtY$_{2}$,13.207(2),$\AA$,90,°,,,orthorhombic,10.321(2),$\AA$,90,°,5.680(2),$\AA$,90,°,62
Bi$_{2}$CaCu$_{2}$O$_{8}$Sr$_{2}$,5.4054,$\AA$,90,°,,,orthorhombic,30.7152,$\AA$,90,°,5.4016,$\AA$,90,°,66
O$_{8}$P$_{2}$SrZn$_{2}$,8.3232(4),$\AA$,90,°,,,monoclinic,9.0317(4),$\AA$,90,°,9.5101(4),$\AA$,92.293(3),$^\circ$,14
Cs$_{4}$Nb$_{2}$O$_{23}$Si$_{8}$,7.016(2),$\AA$,72.02(2),$^\circ$,,,triclinic,11.066(2),$\AA$,77.16(2),$^\circ$,7.840(2),$\AA$,89.95(2),$^\circ$,2
AlBa$_{3}$F$_{9}$,19.706(2),$\AA$,90,°,,,orthorhombic,15.173(2),$\AA$,90,°,5.599(1),$\AA$,90,°,62
CrF$_{8}$NaSr$_{2}$,7.7388(6),$\AA$,90,°,,,monoclinic,14.827(2),$\AA$,90,°,6.2756(5),$\AA$,112.03(1),$^\circ$,14
NiO$_{3}$Pr,5.4146(1),$\AA$,90,°,,,orthorhombic,7.6199(2),$\AA$,90,°,5.3757(1),$\AA$,90,°,62
NiO$_{3}$Pr,5.4294(1),$\AA$,90,°,,,orthorhombic,7.6362(2),$\AA$,90,°,5.3849(1),$\AA$,90,°,62
NiO$_{3}$Pr,5.4456(1),$\AA$,90,°,,,orthorhombic,7.6520(2),$\AA$,90,°,5.3952(1),$\AA$,90,°,62
NiO$_{3}$Pr,5.4577(1),$\AA$,120,°,,,trigonal,13.1058(3),$\AA$,90,°,5.4577(1),$\AA$,90,°,167
NiO$_{3}$Pr,5.4614(1),$\AA$,120,°,,,trigonal,13.1319(2),$\AA$,90,°,5.4614(1),$\AA$,90,°,167
CrF$_{7}$MnNa$_{2}$,7.421(3),$\AA$,120,°,,,trigonal,18.166(6),$\AA$,90,°,7.421(3),$\AA$,90,°,152
F$_{7}$GaMnNa$_{2}$,7.401(1),$\AA$,120,°,,,trigonal,18.091(2),$\AA$,90,°,7.401(1),$\AA$,90,°,152
BaCu$_{3}$F$_{12}$Na$_{4}$,16.135(2),$\AA$,90,°,,,cubic,16.135(2),$\AA$,90,°,16.135(2),$\AA$,90,°,206
KO$_{5}$SbSi,13.005(1),$\AA$,90,°,,,orthorhombic,10.614(1),$\AA$,90,°,6.4748(6),$\AA$,90,°,33
AlF$_{6}$H$_{6}$KO$_{2}$,8.6472(2),$\AA$,90,°,,,cubic,8.6472(2),$\AA$,90,°,8.6472(2),$\AA$,90,°,205
AlCaF$_{5}$,8.712(3),$\AA$,90,°,,,monoclinic,7.349(3),$\AA$,90,°,6.317(2),$\AA$,115.04(3),$^\circ$,15
NiO$_{3}$Pr,5.4145(3),$\AA$,90,°,,,orthorhombic,7.6206(4),$\AA$,90,°,5.3753(2),$\AA$,90,°,62
NiO$_{3}$Pr,5.4154(1),$\AA$,90,°,,,orthorhombic,7.6192(2),$\AA$,90,°,5.3755(1),$\AA$,90,°,62
NdNiO$_{3}$,5.3888(2),$\AA$,90,°,,,orthorhombic,7.6127(2),$\AA$,90,°,5.3845(1),$\AA$,90,°,62
NiO$_{3}$Sm,5.3283(1),$\AA$,90,°,,,orthorhombic,7.5675(2),$\AA$,90,°,5.4374(1),$\AA$,90,°,62
CrF$_{6}$NaSr,5.5676(3),$\AA$,90,°,,,monoclinic,9.5858(5),$\AA$,90,°,9.2937(7),$\AA$,93.201(6),$^\circ$,14
F$_{6}$FeNaSr,5.4053(3),$\AA$,90,°,,,orthorhombic,10.3823(8),$\AA$,90,°,9.3103(5),$\AA$,90,°,19
LaNiO$_{3}$,5.4535(1),$\AA$,120,°,,,trigonal,13.1010(3),$\AA$,90,°,5.4535(1),$\AA$,90,°,167
LaNiO$_{3}$,5.4535(1),$\AA$,120,°,,,trigonal,13.1014(3),$\AA$,90,°,5.4535(1),$\AA$,90,°,167
LaNiO$_{3}$,5.4536(1),$\AA$,120,°,,,trigonal,13.1062(3),$\AA$,90,°,5.4536(1),$\AA$,90,°,167
LaNiO$_{3}$,5.4573(1),$\AA$,120,°,,,trigonal,13.1462(3),$\AA$,90,°,5.4573(1),$\AA$,90,°,167
NiO$_{3}$Pr,5.4155(1),$\AA$,90,°,,,orthorhombic,7.6164(1),$\AA$,90,°,5.3884(1),$\AA$,90,°,62
NiO$_{3}$Pr,5.4133(1),$\AA$,90,°,,,orthorhombic,7.6227(1),$\AA$,90,°,5.3828(1),$\AA$,90,°,62
NiO$_{3}$Pr,5.4115(1),$\AA$,90,°,,,orthorhombic,7.6163(1),$\AA$,90,°,5.3763(1),$\AA$,90,°,62
NiO$_{3}$Pr,5.4193(1),$\AA$,90,°,,,orthorhombic,7.6263(1),$\AA$,90,°,5.3801(1),$\AA$,90,°,62
NdNiO$_{3}$,5.3824(3),$\AA$,90,°,,,orthorhombic,7.6066(3),$\AA$,90,°,5.3861(2),$\AA$,90,°,62
NdNiO$_{3}$,5.3836(2),$\AA$,90,°,,,orthorhombic,7.6078(3),$\AA$,90,°,5.3863(2),$\AA$,90,°,62
NdNiO$_{3}$,5.3879(4),$\AA$,90,°,,,orthorhombic,7.6058(4),$\AA$,90,°,5.3797(3),$\AA$,90,°,62
NdNiO$_{3}$,5.3891(3),$\AA$,90,°,,,orthorhombic,7.6101(3),$\AA$,90,°,5.3816(2),$\AA$,90,°,62
Ba$_{3}$F$_{12}$O$_{2}$Ta$_{2}$,5.5063(3),$\AA$,90,°,,,tetragonal,21.0295(15),$\AA$,90,°,5.5063(3),$\AA$,90,°,137
Ba$_{2}$C$_{3}$CeFO$_{9}$,13.365(3),$\AA$,90,°,,,monoclinic,6.638(1),$\AA$,90,°,5.097(1),$\AA$,106.45(2),$^\circ$,11
BaCuF$_{2}$O$_{3}$,4.889(1),$\AA$,90,°,,,orthorhombic,9.588(3),$\AA$,90,°,8.539(3),$\AA$,90,°,63
F$_{2}$Ga$_{4}$H$_{6}$O$_{16}$P$_{3}$,13.455(1),$\AA$,90,°,,,tetragonal,18.902(1),$\AA$,90,°,13.455(1),$\AA$,90,°,88
Ba$_{10}$Cu$_{12}$F$_{47}$Fe,15.447(5),$\AA$,90,°,,,monoclinic,11.809(2),$\AA$,90,°,11.638(8),$\AA$,109.92(2),$^\circ$,12
Ba$_{4}$F$_{12}$Nb$_{2}$O$_{3}$,22.672(2),$\AA$,90,°,,,monoclinic,14.996(1),$\AA$,90,°,13.075(1),$\AA$,114.234(5),$^\circ$,15
F$_{5}$FeK$_{2}$,7.3591(4),$\AA$,90,°,,,orthorhombic,5.7054(2),$\AA$,90,°,23.0897(10),$\AA$,90,°,55
F$_{12}$In$_{2}$Li$_{4}$Zn,4.7496(5),$\AA$,90,°,,,orthorhombic,5.0617(6),$\AA$,90,°,17.606(2),$\AA$,90,°,60
Bi$_{0.5}$O$_{7}$P$_{2}$Ta$_{0.5}$,8.253(2),$\AA$,90,°,,,cubic,8.253(2),$\AA$,90,°,8.253(2),$\AA$,90,°,205
O$_{7}$P$_{1.901}$Ta$_{0.899}$,8.109(1),$\AA$,90,°,,,cubic,8.109(1),$\AA$,90,°,8.109(1),$\AA$,90,°,205
AlBa$_{3}$F$_{9}$,10.063(9),$\AA$,90,°,,,orthorhombic,14.88(1),$\AA$,90,°,5.567(6),$\AA$,90,°,62
Ba$_{2}$F$_{3}$O$_{6}$Y,9.458(3),$\AA$,90,°,,,orthorhombic,11.787(4),$\AA$,90,°,6.966(2),$\AA$,90,°,60
Ba$_{2}$F$_{3}$GdO$_{6}$,9.513(1),$\AA$,90,°,,,orthorhombic,11.864(4),$\AA$,90,°,6.978(1),$\AA$,90,°,60
BaF$_{4}$OTi,5.1719(2),$\AA$,90,°,,,orthorhombic,5.5178(2),$\AA$,90,°,13.7555(7),$\AA$,90,°,57
Li$_{2}$O$_{7}$P$_{2}$Pd,12.5858(9),$\AA$,90,°,,,orthorhombic,5.8116(4),$\AA$,90,°,7.4955(5),$\AA$,90,°,74
Li$_{2}$O$_{6}$TeTi,5.0743(2),$\AA$,90,°,,,orthorhombic,8.4083(4),$\AA$,90,°,4.9067(2),$\AA$,90,°,34
H$_{1.68}$Li$_{0.32}$O$_{6}$TeTi,5.0098(5),$\AA$,90,°,,,orthorhombic,8.6118(6),$\AA$,90,°,4.7020(3),$\AA$,90,°,58
H$_{1.68}$Li$_{0.32}$O$_{6}$TeTi,4.6861(1),$\AA$,90,°,,,tetragonal,8.8707(3),$\AA$,90,°,4.6861(1),$\AA$,90,°,102
Na$_{2}$O$_{7}$P$_{2}$Pd,14.693(3),$\AA$,90,°,,,monoclinic,7.922(2),$\AA$,90,°,5.8551(4),$\AA$,114.11(2),$^\circ$,15
Ba$_{3}$Cr$_{4}$F$_{20}$Na$_{2}$,7.262(4),$\AA$,90,°,,,monoclinic,5.431(2),$\AA$,90,°,20.668(8),$\AA$,90.76(1),$^\circ$,14
K$_{2}$Nb$_{2}$O$_{14}$Si$_{4}$,8.7404(8),$\AA$,90,°,,,tetragonal,8.136(1),$\AA$,90,°,8.7404(8),$\AA$,90,°,100
Cr$_{5}$F$_{26}$Na$_{3}$Sr$_{4}$,19.959(2),$\AA$,90,°,,,monoclinic,29.291(6),$\AA$,90,°,7.450(1),$\AA$,111.244(9),$^\circ$,15
Ba$_{2}$F$_{6}$OTi,11.446(2),$\AA$,90,°,,,monoclinic,7.252(2),$\AA$,90,°,9.304(2),$\AA$,126.67(2),$^\circ$,9
BaF$_{5.5}$H$_{1.5}$NbO$_{1.5}$,9.9259(5),$\AA$,90,°,,,cubic,9.9259(5),$\AA$,90,°,9.9259(5),$\AA$,90,°,205
C$_{4}$FLa$_{2}$Na$_{3}$O$_{12}$,5.083(1),$\AA$,120,°,,,hexagonal,23.034(5),$\AA$,90,°,5.083(1),$\AA$,90,°,194
CrH$_{12}$N$_{4}$O$_{4}$Pd,7.3177(11),$\AA$,90,°,,,tetragonal,15.289(3),$\AA$,90,°,7.3177(11),$\AA$,90,°,141
Ba$_{3}$F$_{8}$O$_{4}$V$_{2}$,9.945(4),$\AA$,90,°,,,orthorhombic,9.673(1),$\AA$,90,°,10.277(1),$\AA$,90,°,58
Cu$_{3}$Fe$_{4}$O$_{24}$V$_{6}$,6.600(3),$\AA$,102.28(2),$^\circ$,,,triclinic,9.759(5),$\AA$,106.08(3),$^\circ$,8.048(4),$\AA$,103.72(3),$^\circ$,2
Nd$_{4}$Ni$_{3}$O$_{8}$,3.9171(1),$\AA$,90,°,,,tetragonal,25.307(1),$\AA$,90,°,3.9171(1),$\AA$,90,°,139
AlF$_{5}$Mn,3.5837(4),$\AA$,90,°,,,orthorhombic,9.537(1),$\AA$,90,°,9.854(1),$\AA$,90,°,63
F$_{0.5}$GaH$_{4.43}$N$_{0.93}$O$_{4.57}$P,9.593(2),$\AA$,90,°,,,orthorhombic,9.981(2),$\AA$,90,°,9.742(2),$\AA$,90,°,19
AlF$_{0.675}$H$_{4.205}$N$_{0.88}$O$_{4.445}$P,9.416(8),$\AA$,90,°,,,orthorhombic,9.933(4),$\AA$,90,°,9.563(5),$\AA$,90,°,19
F$_{0.45}$Fe$_{1.21}$H$_{0.92}$O$_{4.55}$P,5.184(1),$\AA$,90,°,,,tetragonal,13.040(5),$\AA$,90,°,5.184(1),$\AA$,90,°,141
Ba$_{3}$F$_{12}$H$_{4}$Nb$_{2}$O$_{4}$,22.633(3),$\AA$,90,°,,,orthorhombic,7.748(1),$\AA$,90,°,7.804(1),$\AA$,90,°,36
Ba$_{5}$F$_{20}$HNb$_{3}$O$_{3}$,11.935(1),$\AA$,120,°,,,hexagonal,7.852(1),$\AA$,90,°,11.935(1),$\AA$,90,°,176
Cu$_{6}$Fe$_{0.9}$O$_{19}$V$_{6}$,12.9399(8),$\AA$,120,°,,,trigonal,7.1275(3),$\AA$,90,°,12.9399(8),$\AA$,90,°,148
CrCuP$_{2}$S$_{6}$,5.935(6),$\AA$,90,°,,,monoclinic,13.368(13),$\AA$,90,°,10.282(2),$\AA$,106.78(7),$^\circ$,7
H$_{12}$MoN$_{4}$O$_{4}$Pd,7.4618(4),$\AA$,90,°,,,tetragonal,15.5565(10),$\AA$,90,°,7.4618(4),$\AA$,90,°,141
Ca$_{0.5}$Cu$_{2}$Hg$_{0.4}$O$_{7}$Pr$_{1.1}$Sr$_{2}$,3.8463(4),$\AA$,90,°,,,orthorhombic,12.154(1),$\AA$,90,°,3.8018(4),$\AA$,90,°,47
BaF$_{4}$OV,7.920(1),$\AA$,90,°,,,orthorhombic,7.375(1),$\AA$,90,°,27.60799(200),$\AA$,90,°,43
FFeH$_{4}$NO$_{4}$P,12.993(3),$\AA$,90,°,,,orthorhombic,10.640(3),$\AA$,90,°,6.468(1),$\AA$,90,°,33
F$_{32}$Fe$_{7}$Na$_{7}$Sr$_{2}$,10.372(3),$\AA$,90,°,,,orthorhombic,44.98(2),$\AA$,90,°,10.805(3),$\AA$,90,°,70
Ba$_{3}$F$_{7}$O$_{3}$Sc,11.519(3),$\AA$,90,°,,,orthorhombic,5.974(1),$\AA$,90,°,13.456(3),$\AA$,90,°,63
EuF$_{3}$Na$_{2}$O$_{3}$,6.596(4),$\AA$,90,°,,,orthorhombic,14.09(1),$\AA$,90,°,10.774(4),$\AA$,90,°,61
AlF$_{5}$Fe,7.4289(8),$\AA$,90,°,,,orthorhombic,3.5574(6),$\AA$,90,°,6.203(1),$\AA$,90,°,71
CuF$_{4}$H$_{9}$NbO$_{6}$,5.590(1),$\AA$,90,°,,,monoclinic,7.544(1),$\AA$,90,°,9.978(4),$\AA$,103.36(1),$^\circ$,14
F$_{7}$Li$_{3}$Th,6.20960(8),$\AA$,90,°,,,tetragonal,12.9628(2),$\AA$,90,°,6.20960(8),$\AA$,90,°,130
F$_{7}$Li$_{3}$Th,6.21785(6),$\AA$,90,°,,,tetragonal,12.9836(2),$\AA$,90,°,6.21785(6),$\AA$,90,°,130
F$_{7}$Li$_{3}$Th,6.23010(7),$\AA$,90,°,,,tetragonal,13.0153(2),$\AA$,90,°,6.23010(7),$\AA$,90,°,130
F$_{7}$Li$_{3}$Th,6.24774(8),$\AA$,90,°,,,tetragonal,13.0604(2),$\AA$,90,°,6.24774(8),$\AA$,90,°,130
Ba$_{3}$Cu$_{2}$HgO$_{10}$SrTl$_{2}$,3.8289(1),$\AA$,90,°,,,tetragonal,41.75699(100),$\AA$,90,°,3.8289(1),$\AA$,90,°,139
Cs$_{3}$F$_{9}$Ga$_{2}$,10.945(2),$\AA$,120,°,,,hexagonal,14.756(4),$\AA$,90,°,10.945(2),$\AA$,90,°,185
H$_{45}$Mo$_{7}$N$_{15}$O$_{24}$Pd$_{3}$,10.658(1),$\AA$,90,°,,,monoclinic,17.55099(200),$\AA$,90,°,20.62799(200),$\AA$,113.038(7),$^\circ$,14
CCuFKO$_{3}$,3.972(1),$\AA$,90,°,,,orthorhombic,9.005(5),$\AA$,90,°,5.038(2),$\AA$,90,°,26
F$_{2}$NaO$_{2}$V,6.399(1),$\AA$,90,°,,,monoclinic,7.220(2),$\AA$,90,°,3.590(1),$\AA$,110.29(1),$^\circ$,4
Ba$_{7}$F$_{26.7}$Fe$_{6}$H$_{9.3}$O$_{7.3}$,17.036(2),$\AA$,90,°,,,monoclinic,7.620(2),$\AA$,90,°,11.489(1),$\AA$,101.48(1),$^\circ$,12
Ba$_{7}$F$_{32}$Fe$_{6}$H$_{4}$O$_{2}$,17.02299(100),$\AA$,90,°,,,monoclinic,7.624(1),$\AA$,90,°,11.482(1),$\AA$,101.13(1),$^\circ$,12
F$_{24}$Fe$_{3}$Pb$_{8}$,20.118(3),$\AA$,89.38(2),$^\circ$,,,triclinic,9.440(2),$\AA$,89.75(2),$^\circ$,5.597(1),$\AA$,105.79(2),$^\circ$,2
Ga$_{2}$H$_{9}$NO$_{11}$P$_{2}$,9.689(1),$\AA$,90,°,,,monoclinic,9.788(1),$\AA$,90,°,9.703(1),$\AA$,102.78(2),$^\circ$,14
Cu$_{0.975}$InP$_{2}$S$_{6}$,6.0956(4),$\AA$,90,°,,,monoclinic,13.6230(8),$\AA$,90,°,10.5645(6),$\AA$,107.101(3),$^\circ$,9
CaO$_{4}$Tl$_{2}$,3.3255(1),$\AA$,90,°,,,orthorhombic,10.479(1),$\AA$,90,°,11.022(1),$\AA$,90,°,63
Ca$_{1.88}$O$_{5}$Tl$_{2.12}$,3.3431(1),$\AA$,90,°,,,orthorhombic,13.499(1),$\AA$,90,°,11.159(1),$\AA$,90,°,63
Nb$_{2}$O$_{6.07}$Tl$_{2}$,10.6829(2),$\AA$,90,°,,,cubic,10.6829(2),$\AA$,90,°,10.6829(2),$\AA$,90,°,227
Nb$_{2}$O$_{6.271}$Tl$_{2}$,10.6418(2),$\AA$,90,°,,,cubic,10.6418(2),$\AA$,90,°,10.6418(2),$\AA$,90,°,227
Nb$_{2}$O$_{6.43}$Tl$_{2}$,10.6399(2),$\AA$,90,°,,,cubic,10.6399(2),$\AA$,90,°,10.6399(2),$\AA$,90,°,227
Nb$_{2}$O$_{6.49}$Tl$_{2}$,10.6397(2),$\AA$,90,°,,,cubic,10.6397(2),$\AA$,90,°,10.6397(2),$\AA$,90,°,227
Nb$_{2}$O$_{6.588}$Tl$_{2}$,10.6370(2),$\AA$,90,°,,,cubic,10.6370(2),$\AA$,90,°,10.6370(2),$\AA$,90,°,227
Nb$_{2}$O$_{6.648}$Tl$_{2}$,10.6313(2),$\AA$,90,°,,,cubic,10.6313(2),$\AA$,90,°,10.6313(2),$\AA$,90,°,227
Nb$_{2}$O$_{7}$Tl$_{2}$,10.6220(2),$\AA$,90,°,,,cubic,10.6220(2),$\AA$,90,°,10.6220(2),$\AA$,90,°,227
Ca$_{2.8}$O$_{6}$Tl$_{2.2}$,11.248(2),$\AA$,90,°,,,orthorhombic,3.3329(3),$\AA$,90,°,16.51299(200),$\AA$,90,°,55
Ba$_{2}$ClF$_{7}$Zn$_{2}$,7.700(2),$\AA$,90,°,,,monoclinic,8.939(2),$\AA$,90,°,5.801(2),$\AA$,106.85(2),$^\circ$,11
Ba$_{2}$ClCo$_{2}$F$_{7}$,7.692(3),$\AA$,90,°,,,monoclinic,8.945(2),$\AA$,90,°,5.783(2),$\AA$,106.88(2),$^\circ$,11
Ba$_{2}$ClF$_{7}$MnNi,7.766(3),$\AA$,90,°,,,monoclinic,8.932(4),$\AA$,90,°,5.844(1),$\AA$,106.64(1),$^\circ$,11
